name,description,price,image,category,stock
Laptop Pro 15,High-performance laptop with 16GB RAM and 512GB SSD,1299.99,,Electronics,50
Wireless Mouse,Ergonomic wireless mouse with long battery life,29.99,,Electronics,200
Mechanical Keyboard,RGB mechanical keyboard with Cherry MX switches,149.99,,Electronics,75
Gaming Monitor,27-inch 4K gaming monitor with 144Hz refresh rate,599.99,,Electronics,30
USB-C Hub,Multi-port USB-C hub with HDMI and SD card reader,49.99,,Electronics,150
Webcam HD,1080p HD webcam with built-in microphone,79.99,,Electronics,100
Standing Desk,Adjustable height standing desk with memory presets,499.99,,Furniture,25
Office Chair,Ergonomic office chair with lumbar support,299.99,,Furniture,40
Desk Lamp,LED desk lamp with adjustable brightness,39.99,,Furniture,120
Monitor Stand,Aluminum monitor stand with cable management,59.99,,Furniture,80
Notebook Set,Set of 3 premium notebooks with leather covers,24.99,,Stationery,200
Pen Set,Luxury pen set with fountain and ballpoint pens,89.99,,Stationery,60
Desk Organizer,Wooden desk organizer with multiple compartments,34.99,,Stationery,90
Sticky Notes,Colorful sticky notes pack with 10 colors,9.99,,Stationery,300
File Folder,Heavy-duty file folder with label tabs,12.99,,Stationery,150
Coffee Maker,Programmable coffee maker with thermal carafe,89.99,,Appliances,35
Electric Kettle,Stainless steel electric kettle with auto shut-off,34.99,,Appliances,70
Blender Pro,High-speed blender with multiple speed settings,129.99,,Appliances,45
Toaster Oven,Convection toaster oven with multiple cooking modes,79.99,,Appliances,55
Air Fryer,Digital air fryer with large capacity,119.99,,Appliances,40
Running Shoes,Lightweight running shoes with cushioned sole,89.99,,Sports,100
Yoga Mat,Non-slip yoga mat with carrying strap,24.99,,Sports,150
Dumbbell Set,Adjustable dumbbell set 5-50 lbs,199.99,,Sports,30
Resistance Bands,Set of 5 resistance bands with door anchor,29.99,,Sports,120
Water Bottle,Insulated stainless steel water bottle 32oz,19.99,,Sports,200
Smartphone Case,Protective case with screen protector,24.99,,Accessories,250
Phone Stand,Adjustable phone stand for desk or car,14.99,,Accessories,180
Power Bank,20000mAh power bank with fast charging,49.99,,Accessories,90
Cable Organizer,Cable management organizer with clips,9.99,,Accessories,200
Screen Cleaner,Screen cleaning kit with microfiber cloth,7.99,,Accessories,300
Wireless Earbuds,True wireless earbuds with noise cancellation,129.99,,Electronics,80
Bluetooth Speaker,Portable Bluetooth speaker with 360 sound,79.99,,Electronics,65
Tablet Stand,Adjustable tablet stand for reading and typing,19.99,,Accessories,140
Laptop Sleeve,Protective laptop sleeve with padding,29.99,,Accessories,110
Backpack,Professional backpack with laptop compartment,89.99,,Accessories,50
Briefcase,Leather briefcase with combination lock,199.99,,Accessories,25
Wallet,RFID-blocking wallet with card slots,39.99,,Accessories,100
Watch,Smartwatch with fitness tracking,249.99,,Accessories,40
Sunglasses,Polarized sunglasses with UV protection,79.99,,Accessories,75
Umbrella,Compact travel umbrella with windproof design,24.99,,Accessories,120

